idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
68,81,-2.5,admin,false,false,225.61843872070312,0.28671467,0.8261271,0.3584842,De Entrada Ciclovía Parque Ejido a 10 de Agosto y Patria,false
68,67,-2.5,admin,false,true,44.522464752197266,0.12380073,0.0051558004,0.29275572,De Entrada Ciclovía Parque Ejido a Patria y Amazonas,false
68,69,1.0,admin,false,true,106.22264099121094,0.20356913,0.012300817,0.45367008,De Entrada Ciclovía Parque Ejido a Mitad Ciclovía Parque Ejido,false
69,68,-1.0,admin,false,true,106.22264099121094,0.17023578,0.012300817,0.36478117,De Mitad Ciclovía Parque Ejido a Entrada Ciclovía Parque Ejido,false
69,70,1.0,admin,false,true,252.28753662109375,0.25431305,0.029215457,0.46635607,De Mitad Ciclovía Parque Ejido a Salida Parque Ejido,false
70,69,-1.0,admin,false,true,252.28753662109375,0.2209797,0.029215457,0.37746716,De Salida Parque Ejido a Mitad Ciclovía Parque Ejido,false
70,71,1.0,admin,false,true,25.044960021972656,0.17536746,0.002900262,0.44661966,De Salida Parque Ejido a Parque Ejido - Tarqui,false
71,70,-1.0,admin,false,true,25.044960021972656,0.14203411,0.002900262,0.35773075,De Parque Ejido - Tarqui a Salida Parque Ejido,false
71,80,2.0,admin,false,false,80.57022094726562,0.31132397,0.8093302,0.5458865,De Parque Ejido - Tarqui a 10 de Agosto y Tarqui,false
71,72,2.0,admin,false,true,40.40420913696289,0.19737002,0.004678897,0.49239805,De Parque Ejido - Tarqui a Tarqui y Luis Felipe Borja,false
72,71,-2.0,admin,false,true,40.40420913696289,0.13070336,0.004678897,0.3146203,De Tarqui y Luis Felipe Borja a Parque Ejido - Tarqui,false
